learner_id,sentence_id,audio_file,raw_transcription,corrected_transcription,confidence_score,duration_seconds,processing_time_ms,flags
learner,learner_01_sentence_01,audio_samples/learner_01_sentence_01.wav,El niño come una manzana rojo,El niño come una manzana rojo,0.825,3.19,109.6,
learner,learner_01_sentence_02,audio_samples/learner_01_sentence_02.wav,La profesora habla con estudiantes,La profesora habla con estudiantes,0.815,2.67,53.3,
learner,learner_01_sentence_03,audio_samples/learner_01_sentence_03.wav,Nosotros vivimos en una ciudad grande,Nosotros vivimos en una ciudad grande,0.934,2.0,52.4,
learner,learner_01_sentence_04,audio_samples/learner_01_sentence_04.wav,Ella siempre estudia en la noche,Ella siempre estudia en la noche,0.71,3.12,52.8,
learner,learner_01_sentence_05,audio_samples/learner_01_sentence_05.wav,Los pájaros cantan,Los pájaros cantan,0.631,3.04,53.6,low_confidence
learner,learner_02_sentence_01,audio_samples/learner_02_sentence_01.wav,El niño come una manzana rojo,El niño come una manzana rojo,0.782,2.06,52.2,
learner,learner_02_sentence_02,audio_samples/learner_02_sentence_02.wav,La profesora habla con los estudiantes,La profesora habla con los estudiantes,0.838,2.91,53.3,
learner,learner_02_sentence_03,audio_samples/learner_02_sentence_03.wav,Nosotros vivimos en una ciudad grande,Nosotros vivimos en una ciudad grande,0.897,2.24,52.5,
learner,learner_02_sentence_04,audio_samples/learner_02_sentence_04.wav,Ella siempre estudia en la noche,Ella siempre estudia en la noche,0.745,2.28,52.4,
learner,learner_02_sentence_05,audio_samples/learner_02_sentence_05.wav,Los pájaros cantan en el jardín,Los pájaros cantan en el jardín,0.805,2.98,53.5,
learner,learner_03_sentence_01,audio_samples/learner_03_sentence_01.wav,El niño come una manzana roja,El niño come una manzana roja,0.902,2.38,52.4,
learner,learner_03_sentence_02,audio_samples/learner_03_sentence_02.wav,La profesora habla con los estudiantes,La profesora habla con los estudiantes,0.837,3.55,53.6,
learner,learner_03_sentence_03,audio_samples/learner_03_sentence_03.wav,Nosotros vivimos en,Nosotros vivimos en,0.61,2.9,53.1,low_confidence
learner,learner_03_sentence_04,audio_samples/learner_03_sentence_04.wav,Ella siempre estudia por la noche,Ella siempre estudia por la noche,0.91,2.74,52.4,
learner,learner_03_sentence_05,audio_samples/learner_03_sentence_05.wav,Los pájaros cantan en el jardín,Los pájaros cantan en el jardín,0.922,3.34,53.5,
